,blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,address,postal_code
1939,162,JLN TECK WHYE,16,1996,Y,N,N,N,N,N,CCK,124,0,0,0,63,61,0,0,0,0,0,0,0,162 JLN TECK WHYE,680162
1940,162,MEI LING ST,12,1969,Y,Y,N,N,N,N,QT,100,0,0,100,0,0,0,0,0,0,0,0,0,162 MEI LING ST,140162
1941,162,PUNGGOL CTRL,5,2002,N,N,N,Y,Y,N,PG,0,0,0,0,0,0,0,0,0,0,0,0,0,162 PUNGGOL CTRL,820162
1942,162,RIVERVALE CRES,1,2016,N,N,N,N,N,Y,SK,0,0,0,0,0,0,0,0,0,0,0,0,0,162 RIVERVALE CRES,540162
1943,162,SIMEI RD,11,1988,Y,N,N,N,N,N,TAP,80,0,0,0,44,36,0,0,0,0,0,0,0,162 SIMEI RD,520162
1944,162,TAMPINES ST 12,11,1983,Y,N,N,Y,N,N,TAP,80,0,0,0,12,68,0,0,0,0,0,0,0,162 TAMPINES ST 12,521162
1945,162,WOODLANDS ST 13,10,1984,Y,Y,N,N,N,N,WL,108,0,0,0,20,88,0,0,0,0,0,0,0,162 WOODLANDS ST 13,730162
1946,162,YISHUN ST 11,15,2011,Y,N,N,Y,N,N,YS,392,0,0,0,0,0,0,0,0,294,98,0,0,162 YISHUN ST 11,760162
1947,162,YUNG PING RD,18,1995,Y,N,N,N,N,N,JW,65,0,0,0,0,0,65,0,0,0,0,0,0,162 YUNG PING RD,610162
1948,162A,PUNGGOL CTRL,19,2003,Y,N,N,N,N,N,PG,99,0,0,0,37,62,0,0,0,0,0,0,0,162A PUNGGOL CTRL,821162
1949,162A,RIVERVALE CRES,18,2015,Y,N,N,N,N,N,SK,102,0,0,0,68,34,0,0,0,0,0,0,0,162A RIVERVALE CRES,541162
1950,162B,PUNGGOL CTRL,19,2002,Y,N,N,N,N,N,PG,99,0,0,0,37,62,0,0,0,0,0,0,0,162B PUNGGOL CTRL,822162
1951,162B,RIVERVALE CRES,18,2015,Y,N,N,N,N,N,SK,102,0,0,0,68,34,0,0,0,0,0,0,0,162B RIVERVALE CRES,542162
1952,162C,RIVERVALE CRES,18,2015,Y,N,N,N,N,N,SK,102,0,0,0,34,68,0,0,0,0,0,0,0,162C RIVERVALE CRES,543162
1953,163,ANG MO KIO AVE 4,4,1981,Y,Y,N,N,N,N,AMK,84,0,0,84,0,0,0,0,0,0,0,0,0,163 ANG MO KIO AVE 4,560163
1954,163,BEDOK STH RD,13,1984,Y,Y,N,N,N,N,BD,96,0,0,0,96,0,0,0,0,0,0,0,0,163 BEDOK STH RD,460163
1955,163,BISHAN ST 13,22,1987,Y,N,N,N,N,N,BH,98,0,0,0,4,94,0,0,0,0,0,0,0,163 BISHAN ST 13,570163
1956,163,BT BATOK ST 11,13,1983,Y,N,N,Y,N,N,BB,120,0,0,72,48,0,0,0,0,0,0,0,0,163 BT BATOK ST 11,650163
1957,163,BT MERAH CTRL,4,1980,N,Y,Y,N,Y,N,BM,0,0,0,0,0,0,0,0,0,0,0,0,0,163 BT MERAH CTRL,150163
1958,163,GANGSA RD,25,1997,Y,N,N,N,N,N,BP,96,0,0,0,48,48,0,0,0,0,0,0,0,163 GANGSA RD,670163
1959,163,JLN TECK WHYE,22,1997,Y,N,N,Y,N,N,CCK,88,0,0,0,0,0,88,0,0,0,0,0,0,163 JLN TECK WHYE,680163
1960,163,LOR 1 TOA PAYOH,12,1972,Y,Y,N,N,N,N,TP,131,0,0,130,0,1,0,0,0,0,0,0,0,163 LOR 1 TOA PAYOH,310163
1961,163,SIMEI RD,11,1988,Y,N,N,N,N,N,TAP,80,0,0,0,44,36,0,0,0,0,0,0,0,163 SIMEI RD,520163
1962,163,STIRLING RD,12,1969,Y,Y,N,N,N,N,QT,100,0,0,96,0,3,0,0,0,0,0,1,0,163 STIRLING RD,140163
1963,163,TAMPINES ST 12,11,1983,Y,N,N,Y,N,N,TAP,120,0,0,0,120,0,0,0,0,0,0,0,0,163 TAMPINES ST 12,521163
1964,163,WOODLANDS ST 13,4,1984,Y,N,N,N,N,N,WL,16,0,0,8,8,0,0,0,0,0,0,0,0,163 WOODLANDS ST 13,730163
1965,163,YUNG PING RD,19,1995,Y,Y,N,N,N,N,JW,90,0,0,0,0,0,90,0,0,0,0,0,0,163 YUNG PING RD,610163
1966,163A,GANGSA RD,5,1997,N,Y,N,N,Y,N,BP,0,0,0,0,0,0,0,0,0,0,0,0,0,163A GANGSA RD,671163
1967,163A,PUNGGOL CTRL,19,2003,Y,N,N,Y,N,N,PG,98,0,0,0,36,62,0,0,0,0,0,0,0,163A PUNGGOL CTRL,821163
1968,163A,RIVERVALE CRES,18,2015,Y,N,N,N,N,N,SK,102,0,0,0,34,68,0,0,0,0,0,0,0,163A RIVERVALE CRES,541163
1969,163A,YUNG PING RD,5,1994,N,N,N,N,Y,N,JW,0,0,0,0,0,0,0,0,0,0,0,0,0,163A YUNG PING RD,611163
1970,163B,GANGSA RD,1,1997,N,N,N,N,N,Y,BP,0,0,0,0,0,0,0,0,0,0,0,0,0,163B GANGSA RD,672163
1971,163B,PUNGGOL CTRL,19,2003,Y,N,N,N,N,N,PG,98,0,0,0,36,62,0,0,0,0,0,0,0,163B PUNGGOL CTRL,822163
1972,163B,RIVERVALE CRES,18,2015,Y,N,N,N,N,N,SK,68,0,0,0,34,34,0,0,0,0,0,0,0,163B RIVERVALE CRES,542163
1973,163C,RIVERVALE CRES,18,2015,Y,N,N,N,N,N,SK,102,0,0,34,68,0,0,0,0,0,0,0,0,163C RIVERVALE CRES,543163
1974,164,BEDOK STH RD,12,1985,Y,N,N,N,N,N,BD,88,0,0,0,48,40,0,0,0,0,0,0,0,164 BEDOK STH RD,460164
1975,164,BISHAN ST 13,22,1987,Y,Y,N,N,N,N,BH,114,0,0,0,12,102,0,0,0,0,0,0,0,164 BISHAN ST 13,570164
1976,164,BT MERAH CTRL,4,1980,Y,Y,N,N,N,N,BM,3,0,0,3,0,0,0,0,0,0,0,0,0,164 BT MERAH CTRL,150164
1977,164,BT BATOK ST 11,13,1984,Y,Y,N,N,N,N,BB,130,0,0,77,51,0,2,0,0,0,0,0,0,164 BT BATOK ST 11,650164
1978,164,GANGSA RD,25,1997,Y,N,N,N,N,N,BP,96,0,0,0,48,48,0,0,0,0,0,0,0,164 GANGSA RD,670164
1979,164,JLN TECK WHYE,22,1997,Y,N,N,N,N,N,CCK,90,0,0,0,0,0,90,0,0,0,0,0,0,164 JLN TECK WHYE,680164
1980,164,PUNGGOL CTRL,1,2002,N,N,N,N,N,Y,PG,0,0,0,0,0,0,0,0,0,0,0,0,0,164 PUNGGOL CTRL,820164
1981,164,RIVERVALE CRES,7,2015,N,N,N,Y,Y,Y,SK,0,0,0,0,0,0,0,0,0,0,0,0,0,164 RIVERVALE CRES,540164
1982,164,SIMEI RD,11,1988,Y,N,N,N,N,N,TAP,80,0,0,0,44,36,0,0,0,0,0,0,0,164 SIMEI RD,520164
1983,164,STIRLING RD,12,1969,Y,Y,N,N,N,N,QT,104,0,0,101,0,3,0,0,0,0,0,0,0,164 STIRLING RD,140164
1984,164,TAMPINES ST 12,11,1983,Y,Y,N,N,N,N,TAP,153,0,0,47,106,0,0,0,0,0,0,0,0,164 TAMPINES ST 12,521164
1985,164,WOODLANDS ST 13,4,1984,Y,N,N,N,N,N,WL,16,0,0,8,8,0,0,0,0,0,0,0,0,164 WOODLANDS ST 13,730164
1986,164,YUNG KUANG RD,5,2017,N,N,N,N,Y,N,JW,0,0,0,0,0,0,0,0,0,0,0,0,0,164 YUNG KUANG RD,610164
1987,164A,RIVERVALE CRES,18,2015,Y,N,N,N,N,N,SK,102,0,0,0,51,51,0,0,0,0,0,0,0,164A RIVERVALE CRES,541164
1988,164A,STIRLING RD,1,2005,N,N,N,N,N,Y,QT,0,0,0,0,0,0,0,0,0,0,0,0,0,164A STIRLING RD,141164
1989,164A,YUNG KUANG RD,19,2017,Y,N,N,N,N,N,JW,72,0,0,0,36,36,0,0,0,0,0,0,0,164A YUNG KUANG RD,611164
1990,164B,RIVERVALE CRES,18,2015,Y,N,N,N,N,N,SK,102,0,0,68,34,0,0,0,0,0,0,0,0,164B RIVERVALE CRES,542164
1991,164C,RIVERVALE CRES,18,2015,Y,N,N,N,N,N,SK,102,0,0,0,34,68,0,0,0,0,0,0,0,164C RIVERVALE CRES,543164
1992,165,BEDOK STH RD,12,1984,Y,Y,N,N,N,N,BD,110,0,0,0,110,0,0,0,0,0,0,0,0,165 BEDOK STH RD,460165
1993,165,BISHAN ST 13,22,1987,Y,N,N,N,N,N,BH,114,0,0,0,12,102,0,0,0,0,0,0,0,165 BISHAN ST 13,570165
